vertex id,originalDegree,degreeDelete,average,terminalClique
0,2,2,2,89
1,2,1,2,89
2,2,2,2,89
3,2,1,2,89
4,2,2,2,89
5,2,1,2,89
6,2,2,2,89
7,2,1,2,89
8,2,2,2,89
9,2,1,2,89
10,2,2,2,89
11,2,1,2,89
12,2,2,2,89
13,2,1,2,89
14,2,2,2,89
15,2,1,2,89
16,2,2,2,89
17,2,1,2,89
18,2,2,2,89
19,2,1,2,89
20,2,2,2,89
21,2,1,2,89
22,2,2,2,89
23,2,1,2,89
24,2,2,2,89
25,2,1,2,89
26,2,2,2,89
27,2,1,2,89
28,2,2,2,89
29,2,1,2,89
30,2,2,2,89
31,2,1,2,89
32,2,2,2,89
33,2,1,2,89
34,2,2,2,89
35,2,1,2,89
36,2,2,2,89
37,2,1,2,89
38,2,2,2,89
39,2,1,2,89
40,2,2,2,89
41,2,1,2,89
42,2,2,2,89
43,2,1,2,89
44,2,2,2,89
45,2,1,2,89
46,2,2,2,89
47,2,1,2,89
48,2,2,2,89
49,2,1,2,89
50,2,2,2,89
51,2,1,2,89
52,2,2,2,89
53,2,1,2,89
54,2,2,2,89
55,2,1,2,89
56,2,2,2,89
57,2,1,2,89
58,2,2,2,89
59,2,1,2,89
60,2,1,2,89
61,2,1,2,89
62,2,1,2,89
63,2,1,2,89
64,2,1,2,89
65,2,1,2,89
66,2,1,2,89
67,2,1,2,89
68,2,1,2,89
69,2,1,2,89
70,2,1,2,89
71,2,1,2,89
72,2,1,2,89
73,2,1,2,89
74,2,1,2,89
75,2,1,2,89
76,2,1,2,89
77,2,1,2,89
78,2,1,2,89
79,2,1,2,89
80,2,1,2,89
81,2,1,2,89
82,2,1,2,89
83,2,1,2,89
84,2,1,2,89
85,2,1,2,89
86,2,1,2,89
87,2,1,2,89
88,2,1,2,89

